,Asparagus,1.4,1.8,6.0,6.8,tige
,African Violet,1.2,1.5,6.0,7.0,fleur
,Basil,1.0,1.6,5.5,6.0,feuille
,Bean,2.0,4.0,6,6,fève
,Banana,1.8,2.2,5.5,6.5,fruit
,Broccoli,2.8,3.5,6.0,6.8,tige
,Cabbage,2.5,3.0,6.5,7.0,feuille
,Celery,1.8,2.4,6.5,6.5,tige
,Carnation,2.0,3.5,6,6,fleur
,Courgettes,1.8,2.4,6,6,fruit
,Cucumber,1.7,2.0,5.0,5.5,fruit
,Eggplant,2.5,3.5,6,6,fruit
,Ficus,1.6,2.4,5.5,6.0,feuille
,Leek,1.4,1.8,6.5,7.0,feuille
,Lettuce,1.2,1.8,6.0,7.0,feuille
,Marrow,1.8,2.4,6,6,fruit
,Okra,2.0,2.4,6.5,6.5,fruit
,Pak Choi,1.5,2.0,7,7,feuille
,Peppers,0.8,1.8,5.5,6.0,fruit
,Parsley,1.8,2.2,6.0,6.5,feuille
,Rhubarb,1.6,2.0,5.5,6.0,tige
,Rose,1.5,2.5,5.5,6.0,fleur
,Spinach,1.8,2.3,6.0,7.0,feuille
,Strawberry,1.8,2.2,6,6,fruit
,Sage,1.0,1.6,5.5,6.5,feuille
,Tomato,2.0,4.0,6.0,6.5,fruit
,Anise ,0.9,1.4,5.8,6.4,feuille
,Basil ,1.0,1.6,5.5,6.0,feuille
,Catnip ,1.0,1.6,5.5,6.5,feuille
,Chamomile ,1.0,1.6,5.5,6.5,fleur
,Chervil ,0.8,1.8,5.5,6.0,feuille
,Chickory ,2.0,2.4,5.5,6.0,feuille
,Chives ,1.8,2.4,6.0,6.5,feuille
,Cilantro ,1.2,1.8,5.8,6.4,feuille
,Coriander ,1.2,1.8,5.8,6.4,feuille
,Dill ,1.0,1.6,5.5,6.4,feuille
,Fennel ,1.0,1.4,6.4,6.8,feuille
,Lavender ,1.0,1.4,6.4,6.8,feuille
,Lemon Balm,1.0,1.6,5.5,6.5,feuille
,Marjoram ,1.6,2.0,6.0,6.0,feuille
,Mint ,2.0,2.4,5.5,6.0,feuille
,Mustard Cress,1.2,2.4,6.0,6.5,feuille
,Oregano ,1.8,2.3,6.0,7.0,feuille
,Parsley ,0.8,1.8,5.5,6.0,feuille
,Rosemary ,1.0,1.6,5.5,6.0,feuille
,Sage ,1.0,1.6,5.5,6.5,feuille
,Tarragon ,1.0,1.8,5.5,6.5,feuille
,Thyme ,0.8,1.6,5.5,7.0,feuille
,Vietnamese Coriander,1.2,1.8,6.5,6.8,feuille
,Watercress ,0.4,1.8,5.8,6.4,feuille
