Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,Nom,EC_min,EC_max,Ph_min,Ph_max
Pak-choi,Pak-choi,2.5,2.0,7.0,7.0
Papaye,Papaye,2.0,2.4,6.5,6.5
Persil,Parsley,1.8,2.2,6.0,6.5
Persil,Parsley,0.8,1.8,6.0,6.0
Persil,Parsley,0.8,1.8,5.5,6.0
Panais,Parsnip,1.4,1.8,6.0,6.0
Fruit de la passion,Passionfruit,1.6,2.4,6.5,6.5
Pois,Pea,0.8,1.8,7.0,7.0
Pois,Pea,0.8,1.8,6.0,7.0
Pois mange-tout,Peas [Sugar],-1.0,-1.0,6.8,6.8
Melon Pepino,Pepino,2.0,5.0,6.5,6.5
Poivron,Peppers,2.0,3.0,6.3,6.3
Poivron,Peppers,0.8,1.8,5.5,6.0
Piment,Peppers_Bell,2.0,2.5,6.0,6.5
Piment,Peppers_Hot,2.0,3.5,6.0,6.5
Ananas,Pineapple,2.0,2.4,6.0,6.0
Ananas,Pineapple,2.0,2.4,5.5,6.0
Pomme de terre,Potato,2.0,2.5,5.5,6.0
Pomme de terre,Potato,2.0,2.5,5.0,6.0
Citrouille,Pumpkin,1.8,2.4,5.5,7.5
Mesclun,Radicchio,-1.0,-1.0,6.5,6.5
Radis,Radish,1.6,2.2,7.0,7.0
Radis,Radish,1.6,2.3,6.0,7.0
Radis,Radish,1.6,2.2,6.0,7.0
Gadelle,Red currant,1.4,1.8,6.0,6.0
Rhubarbe,Rhubarb,1.6,2.0,5.5,6.0
Rhubarbe,Rhubarb,1.6,2.0,6.0,6.0
Rhubarbe,Rhubarb,1.6,2.0,5.0,6.0
Roquette,Rocket,0.8,1.2,6.0,7.5
Rose,Rose,1.5,2.5,5.5,6.0
Romarin,Rosemary,1.0,1.6,6.0,6.0
Romarin,Rosemary,1.0,1.6,5.5,6.0
Sauge,Sage,1.0,1.6,5.5,6.5
Sauge,Sage,1.0,1.6,6.5,6.5
Salade ,Salad,0.8,1.5,5.5,6.5
Sariette,Savory,1.8,2.4,6.5,7.0
Bette à carde,Silverbeet,1.8,2.3,7.0,7.0
Épinard,Spinach,1.8,2.3,6.6,6.6
Épinard,Spinach,1.8,2.3,6.0,7.0
Épinard,Spinach,1.8,2.3,5.5,6.6
Courge,Squash,1.8,2.4,5.0,6.0
Courge,Squash [Summer],1.8,2.4,6.5,6.5
Courge,Squash [Winter],-1.0,-1.0,6.5,6.5
Stevia,Stevia,0.8,1.6,6.0,6.5
Fraise,Strawberries,1.8,2.2,6.5,6.5
Fraise,Strawberries,1.0,1.4,5.0,5.5
Fraise,Strawberry,1.8,2.2,6.0,6.0
Fraise,Strawberry,1.8,2.2,5.5,6.5
Tournesol,Sunflower,1.2,1.8,5.5,6.8
Tournesol,Sunflower,1.2,1.8,5.5,6.5
Maïs,Sweet Corn,1.6,2.4,6.0,6.0
Grenadille,Sweet Granadilla,1.6,2.4,6.5,6.5
Patate douce,Sweet Potato,2.0,2.5,6.0,6.5
Patate douce,Sweet Potato,2.0,2.5,6.0,6.0
Bette à carde,Swiss Chard,1.8,2.3,6.0,6.5
Bette à carde,Swiss chard,1.8,2.3,6.0,7.0
Bette à carde,Swiss chard,1.6,2.3,6.5,6.5
Colocase,Taro,2.5,3.0,5.5,5.5
Estragon,Tarragon,1.0,1.8,5.5,6.5
Thym,Thyme,0.8,1.6,7.0,7.0
Thym,Thyme,0.8,1.6,5.5,7.0
Tomate,Tomato,2.0,5.0,6.5,6.5
Tomate,Tomato,2.0,4.0,6.0,6.5
Tomate,Tomato,1.5,2.5,5.5,6.5
Tomate,Tomato,2.0,5.0,5.5,6.5
Navet,Turnip,1.8,2.4,6.5,6.5
Navet,Turnip,1.8,2.4,6.0,6.5
Coriandre viet.,Vietnamese Coriander,1.2,1.8,6.5,6.8
Violette,Viola,1.3,1.8,5.5,6.2
Cresson,Watercress,0.4,1.8,6.8,6.8
Cresson,Watercress,0.4,1.8,6.5,7.0
Cresson,Watercress,0.4,1.8,5.8,6.4
Melon d’eau,Watermelon,1.5,2.4,5.8,5.8
Blé (pousse),Wheatgrass,0.8,1.2,6.0,7.0
Zucchini,Zucchini,1.8,2.4,6.0,6.0
Zucchini,Zucchini,1.8,2.4,5.0,6.0
